time,water_level_m,salinity_ppt,doc_mg_c_l
1850-03-21,0.23648554467184646,5.0,10.0
1850-03-22,0.2759594537793573,5.0,10.0
1850-03-23,0.29649881774586695,5.0,10.0
1850-03-24,0.3201439097307286,5.0,10.0
1850-03-25,0.2868352728148414,5.0,10.0
1850-03-26,0.21221699919201076,5.0,10.0
1850-03-27,0.2132560911982912,5.0,10.0
1850-03-28,0.2539769090312112,5.0,10.0
1850-03-29,0.29629099919665625,5.0,10.0
1850-03-30,0.30852918182084815,5.0,10.0
1850-03-31,0.2881860907320612,5.0,10.0
1850-04-01,0.24964736392074724,5.0,10.0
1850-04-02,0.2392910909432411,5.0,10.0
1850-04-03,0.2947208175920629,5.0,10.0
1850-04-04,0.290091091134636,5.0,10.0
1850-04-05,0.2844915445708586,5.0,10.0
1850-04-06,0.2822286366681484,5.0,10.0
1850-04-07,0.277748999320783,5.0,10.0
1850-04-08,0.25112518137491874,5.0,10.0
1850-04-09,0.24221209028656193,5.0,10.0
1850-04-10,0.2479848181356257,5.0,10.0
1850-04-11,0.26379054649805816,5.0,10.0
1850-04-12,0.28949072699987083,5.0,10.0
1850-04-13,0.36729554407271486,5.0,10.0
1850-04-14,0.4209819091542201,5.0,10.0
1850-04-15,0.3539143632353365,5.0,10.0
1850-04-16,0.33069645423113625,5.0,10.0
1850-04-17,0.3422188167992132,5.0,10.0
1850-04-18,0.37239863635804477,5.0,10.0
1850-04-19,0.3288029992785472,5.0,10.0
1850-04-20,0.30067827284305615,5.0,10.0
1850-04-21,0.28409899974228314,5.0,10.0
1850-04-22,0.27975790993235994,5.0,10.0
1850-04-23,0.28655266067381874,5.0,10.0
1850-04-24,0.28601554428088405,5.0,10.0
1850-04-25,0.28163279036668687,5.0,10.0
1850-04-26,0.2869853641356256,5.0,10.0
1850-04-27,0.29612936357855785,5.0,10.0
1850-04-28,0.34999493289532935,5.0,10.0
1850-04-29,0.3744075456685642,5.0,10.0
1850-04-30,0.38427891031437617,5.0,10.0
1850-05-01,0.35314684130943713,5.0,10.0
1850-05-02,0.3503006348907103,5.0,10.0
1850-05-03,0.3741304537893359,5.0,10.0
1850-05-04,0.36435948460922685,5.0,10.0
1850-05-05,0.3173268180889163,5.0,10.0
1850-05-06,0.2604192729063673,5.0,10.0
1850-05-07,0.23667027319419107,5.0,10.0
1850-05-08,0.25331881706157516,5.0,10.0
1850-05-09,0.3153063632854003,5.0,10.0
1850-05-10,0.34594799943295396,5.0,10.0
1850-05-11,0.3575280901713806,5.0,10.0
1850-05-12,0.3681268179340794,5.0,10.0
1850-05-13,0.3365038170215759,5.0,10.0
1850-05-14,0.28906354515037763,5.0,10.0
1850-05-15,0.25947254453653645,5.0,10.0
1850-05-16,0.2995237266852946,5.0,10.0
1850-05-17,0.36433990808481537,5.0,10.0
1850-05-18,0.40701190919550984,5.0,10.0
1850-05-19,0.393238181467219,5.0,10.0
1850-05-20,0.3911484540196984,5.0,10.0
1850-05-21,0.4061690900970589,5.0,10.0
1850-05-22,0.3813232717308129,5.0,10.0
1850-05-23,0.35945618216639225,5.0,10.0
1850-05-24,0.34744890850321813,5.0,10.0
1850-05-25,0.3549303631825201,5.0,10.0
1850-05-26,0.36100327354412165,5.0,10.0
1850-05-27,0.35099336379739365,5.0,10.0
1850-05-28,0.35351027272452024,5.0,10.0
1850-05-29,0.3626773634244093,5.0,10.0
1850-05-30,0.37595463618609065,5.0,10.0
1850-05-31,0.3742228185548024,5.0,10.0
1850-06-01,0.370332001158866,5.0,10.0
1850-06-02,0.3453014525993303,5.0,10.0
1850-06-03,0.31708436224352227,5.0,10.0
1850-06-04,0.31341290906613556,5.0,10.0
1850-06-05,0.3381432725153184,5.0,10.0
1850-06-06,0.3575973637616095,5.0,10.0
1850-06-07,0.34008290871517194,5.0,10.0
1850-06-08,0.32819109024432563,5.0,10.0
1850-06-09,0.34090263615237026,5.0,10.0
1850-06-10,0.34869581747163425,5.0,10.0
1850-06-11,0.3618922729543664,5.0,10.0
1850-06-12,0.34432009096552024,5.0,10.0
